,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,
2023-06-14,183.9499969482422,435.5620422363281,183.9499969482422,437.17999267578125,184.38999938964844,439.05999755859375,182.02000427246094,433.5899963378906,183.3699951171875,437.010009765625,57462900,100612100
2023-06-15,186.00999450683594,440.9620056152344,186.00999450683594,442.6000061035156,186.52000427246094,443.8999938964844,183.77999877929688,436.2300109863281,183.9600067138672,436.3299865722656,65433200,110303100
2023-06-16,184.9199981689453,439.4599914550781,184.9199981689453,439.4599914550781,186.99000549316406,443.6099853515625,184.27000427246094,438.9700012207031,186.72999572753906,443.0199890136719,101235600,114121300
2023-06-20,185.00999450683594,437.17999267578125,185.00999450683594,437.17999267578125,186.10000610351562,438.3699951171875,184.41000366210938,435.0299987792969,184.41000366210938,437.45001220703125,49799100,76160400
2023-06-21,183.9600067138672,434.94000244140625,183.9600067138672,434.94000244140625,185.41000366210938,436.989990234375,182.58999633789062,434.3299865722656,184.89999389648438,436.1600036621094,49515700,76982300
2023-06-22,187.0,436.510009765625,187.0,436.510009765625,187.0500030517578,436.6199951171875,183.6699981689453,433.6000061035156,183.74000549316406,433.95001220703125,51245300,70637200
2023-06-23,186.67999267578125,433.2099914550781,186.67999267578125,433.2099914550781,187.55999755859375,435.05999755859375,185.00999450683594,432.4700012207031,185.5500030517578,432.92999267578125,53079300,92074500
2023-06-26,185.27000427246094,431.44000244140625,185.27000427246094,431.44000244140625,188.0500030517578,434.6099853515625,185.22999572753906,431.19000244140625,186.8300018310547,432.6199951171875,48088700,72823600
2023-06-27,188.05999755859375,436.1700134277344,188.05999755859375,436.1700134277344,188.38999938964844,436.80999755859375,185.6699981689453,431.8800048828125,185.88999938964844,432.3500061035156,50730800,72813700
2023-06-28,189.25,436.3900146484375,189.25,436.3900146484375,189.89999389648438,437.44000244140625,187.60000610351562,434.4100036621094,187.92999267578125,435.04998779296875,51216800,75636000
2023-06-29,189.58999633789062,438.1099853515625,189.58999633789062,438.1099853515625,190.07000732421875,438.2799987792969,188.94000244140625,435.5400085449219,189.0800018310547,435.9599914550781,46347300,67882300
2023-06-30,193.97000122070312,443.2799987792969,193.97000122070312,443.2799987792969,194.47999572753906,444.29998779296875,191.25999450683594,441.1099853515625,191.6300048828125,441.44000244140625,85069600,104921500
2023-07-03,192.4600067138672,443.7900085449219,192.4600067138672,443.7900085449219,193.8800048828125,444.0799865722656,191.75999450683594,442.6300048828125,193.77999877929688,442.9200134277344,31458200,32793400
2023-07-05,191.3300018310547,443.1300048828125,191.3300018310547,443.1300048828125,192.97999572753906,443.8900146484375,190.6199951171875,441.8999938964844,191.57000732421875,441.9100036621094,46920300,58418400
2023-07-06,191.80999755859375,439.6600036621094,191.80999755859375,439.6600036621094,192.02000427246094,440.1000061035156,189.1999969482422,437.05999755859375,189.83999633789062,439.4200134277344,45094300,80658300
2023-07-07,190.67999267578125,438.54998779296875,190.67999267578125,438.54998779296875,192.6699981689453,442.6400146484375,190.24000549316406,438.29998779296875,191.41000366210938,438.6300048828125,46778000,86076100
2023-07-10,188.61000061035156,439.6600036621094,188.61000061035156,439.6600036621094,189.99000549316406,439.8399963378906,187.0399932861328,437.5899963378906,189.25999450683594,438.17999267578125,59922200,62443500
2023-07-11,188.0800018310547,442.4599914550781,188.0800018310547,442.4599914550781,189.3000030517578,442.9700012207031,186.60000610351562,439.44000244140625,189.16000366210938,440.45001220703125,46638100,64463800
2023-07-12,189.77000427246094,446.0199890136719,189.77000427246094,446.0199890136719,191.6999969482422,447.4800109863281,188.47000122070312,444.9100036621094,189.67999267578125,446.3900146484375,60750200,91924500
2023-07-13,190.5399932861328,449.55999755859375,190.5399932861328,449.55999755859375,191.19000244140625,450.3800048828125,189.77999877929688,447.45001220703125,190.5,447.8999938964844,41292500,72314000
