Security Code,Sector,Company Name,Currency,Quantity,Last Price,Average Cost $,Cost Value $,Market Value $,Gain Loss $,Gain Loss %,% of Holdings,Price to Earnings,Earnings per Share,Current Dividend c,Franking %,Dividend yield %,Fx Rate,Realised Gain/Loss $,Starting Value $,Yahoo Finance Ticker,Latest Price $,Is Exception,Unrealised Gain/Loss $,Current Market Value $,Current Weights
ASB,Industrials,AUSTAL LIMITED,,2500.0,1.8,2.21,5536.0,4500.0,-1036.0,-18.71,3.92,24.0,0.08,8.0,0.0,4.44,,0.0,5525.0,ASB.AX,2.71,0.0,1250.0,6775.0,0.3990669784592186
CGC,Consumer Staple,COSTA GROUP HOLDINGS LIMITED,,1500.0,2.86,3.44,5156.0,4290.0,-866.0,-16.8,3.74,39.5,0.07,9.0,40.0,3.15,,0.0,5160.0,CGC.AX,3.29,0.0,-225.0,4935.0,0.29068568836844927
FGL,Information Technology,FRUGL GROUP LIMITED,,50000.0,0.011,0.06,2961.0,550.0,-2411.0,-81.43,0.48,,-0.01,0.0,0.0,0.0,,0.0,3000.0,FGL.AX,0.01,0.0,-2500.0,500.0,0.029451437524665582
GMA,,,,2000.0,2.0,2.16,4311.0,4600.0,289.0,6.7,4.01,6.22,0.37,36.0,100.0,15.65,,0.0,4320.0,GMA.AX,,1.0,,,
LER,Materials,LEAF RESOURCES LTD,,50000.0,0.079,0.08,4011.0,3950.0,-61.0,-1.52,3.44,,0.0,0.0,0.0,0.0,,0.0,4000.0,LER.AX,0.019,0.0,-3050.0,950.0,0.055957731296864606
MFG,Financial,MAGELLAN FINANCIAL GROUP LIMITED,,370.0,12.92,22.15,8196.0,4780.4,-3415.6,-41.67,4.17,11.12,1.16,115.8,85.0,8.96,,0.0,8195.5,MFG.AX,8.63,0.0,-5002.4,3193.1000000000004,0.18808277032001935
MFGO,,MAGELLAN FINANCIAL GROUP LIMITED,,47.0,0.735,0.0,0.0,34.545,34.55,,0.03,,,,,,,0.0,0.0,MFGO.AX,,1.0,,,
NXL,Information Technology,NUIX LIMITED,,800.0,0.76,6.51,5211.0,608.0,-4603.0,-88.33,0.53,,-0.06,0.0,0.0,0.0,,0.0,5208.0,NXL.AX,0.78,0.0,-4584.0,624.0,0.036755394030782644
PDL,,,,3430.0,4.0,6.0,20586.0,15161.0,-5425.4,-26.35,13.22,13.9,0.32,24.5,100.0,5.54,,0.0,20580.0,PDL.AX,,1.0,,,
,,,,,,,55968.0,38473.945,,,,,,,,,,,55988.5,,,,-14111.4,,1.0
