Date,AGL.AX,ASB.AX,CGC.AX,CHN.AX,FGL.AX,HLI.AX,LER.AX,MFG.AX,MIN.AX,NXL.AX,PPT.AX,S32.AX
2022-07-07,2041804,3312455,525286,5971298,8000.0,928364,0.0,1009045,1633186,364673,108820,27498971
2022-07-08,1853483,2069148,961616,6314880,0.0,516812,0.0,1088002,1735959,554809,77059,15573509
2022-07-11,1833638,1509059,16250822,4595469,100000.0,422619,0.0,814806,1163803,607948,87276,12574851
2022-07-12,1288857,973711,7062841,4270703,100000.0,1224060,0.0,688649,1230298,718490,80819,18977718
2022-07-13,1820486,1418669,3779362,3609780,0.0,1002920,0.0,928554,1137693,876258,100067,25861766
2022-07-14,1734860,1801947,3487504,2920643,569594.0,1248868,0.0,571494,1987685,304240,101418,29165599
2022-07-15,2391359,1052541,1425504,2522684,0.0,674479,0.0,832975,2002551,374060,104398,22964442
2022-07-18,1452206,1045502,1903394,1696404,51752.0,1521597,0.0,829040,1097896,4135340,93470,14342500
2022-07-19,1434457,696863,1528950,953361,4970.0,1428150,0.0,778163,1029555,1836673,192992,19732989
2022-07-20,1770751,1270298,2317835,1757579,719421.0,768421,0.0,1614466,1128393,2205991,216528,21681047
2022-07-21,1708316,1707337,1896763,2516865,394562.0,810209,23538576.0,628911,1031314,2153845,109441,21163822
2022-07-22,2347623,1579756,1523006,2726947,57129.0,1174285,9366442.0,906839,1408485,1400648,114888,16967196
2022-07-25,1494010,1472887,1502137,1596466,988199.0,668707,5557352.0,663752,824207,1817979,261333,22780151
2022-07-26,1200392,1346408,2835234,1310996,633726.0,1592186,2886228.0,968523,1013864,934211,354382,19296405
2022-07-27,914808,305680,1432573,1765210,91279.0,1236330,3223218.0,446308,1093958,1375741,253586,17368062
2022-07-28,2248459,933519,1378993,2341858,53140.0,823625,3656789.0,615720,2970775,2864996,210450,20452536
2022-07-29,2474423,1411161,1749253,1982422,0.0,930498,4011325.0,920999,1829089,3668289,178378,23019678
2022-08-01,1110766,1011183,1363211,1619635,337554.0,394597,2794380.0,662749,918089,2895186,113214,14820144
2022-08-02,1799909,647643,2254074,1258793,1667.0,1085384,3111294.0,619097,1109965,2306376,120098,15777818
2022-08-03,2730878,1051061,2071571,2166671,8.0,1581522,4344334.0,821412,1066887,1139319,145526,17921594
2022-08-04,1817536,868314,1069177,1586447,400.0,1290572,4302282.0,1671556,1339169,1242017,199507,18072367
2022-08-05,1332368,565111,1238835,1571987,17370.0,1682218,917336.0,619039,910533,893621,117679,13514283
2022-08-08,1932872,1693139,1074610,2950832,29078.0,2498206,716797.0,903355,1380732,715558,169189,17656062
2022-08-09,1128123,1766856,1066524,2380693,0.0,4694895,860421.0,974195,1411418,441061,69229,15955004
2022-08-10,1790175,404016,1076981,1970547,30500.0,6586837,2310172.0,744454,718901,518417,105524,10241979
2022-08-11,1642087,435694,1233031,2086331,110.0,877804,4246401.0,999119,970491,505372,98551,16443737
2022-08-12,1263835,448927,1232108,2264208,0.0,1038772,2243983.0,581183,783064,536644,67129,17223879
2022-08-15,1094010,338627,964336,2026516,0.0,1889650,4268093.0,747785,772233,427013,135478,18355192
2022-08-16,1262454,2430605,888291,2236626,0.0,800632,1276520.0,900643,961213,562438,111266,18678316
2022-08-17,1560572,1518715,1162297,1963019,0.0,1234308,276283.0,3117161,910760,838752,91223,27628161
2022-08-18,2657104,884362,676866,2523371,30360.0,683087,963549.0,1864210,1083399,662173,86746,13085068
2022-08-19,8363236,558820,592147,1314085,0.0,1677747,1089397.0,1129124,911430,676162,87076,17144585
2022-08-22,4398450,455557,633295,1788267,6219.0,1516508,2307241.0,2403224,772433,1601338,85845,19296035
2022-08-23,2924466,576868,1076404,1152569,0.0,893339,4207121.0,761127,729870,979202,109568,15454219
2022-08-24,2170088,441177,890895,1387467,25000.0,1266951,1209229.0,647562,881524,617375,102689,18170274
2022-08-25,1845725,479293,740906,1877632,0.0,1119847,3650556.0,612148,919520,437087,1841602,25222302
2022-08-26,1881446,1067172,1451111,2603813,1410.0,1144760,9697432.0,604167,989490,510889,849872,18372890
2022-08-29,1670866,564700,1238739,3389809,1039.0,1211544,2413631.0,1163370,1377513,619723,498570,20485678
2022-08-30,2066571,535868,1081777,2065961,131269.0,625367,1418660.0,703789,1696912,448003,406780,19946313
2022-08-31,1991702,804035,949659,1668360,635492.0,2432283,2407382.0,1071568,2028631,414524,494563,26979186
2022-09-01,3231323,296738,868805,1113195,166782.0,1505679,440943.0,607444,1350192,567435,384140,15879511
2022-09-02,2241850,287487,791771,1673868,47812.0,868866,655819.0,526244,1466771,750981,520041,21763070
2022-09-05,3711570,604146,705852,1102627,137791.0,3729578,60858.0,593660,1024695,1256020,289750,15290141
2022-09-06,2323146,652931,1446743,2289901,367687.0,1483246,46936.0,1403604,747900,751126,382645,16405835
2022-09-07,3709895,707608,1021698,6871204,0.0,1835394,2978774.0,757468,1042487,1944448,499508,22255349
2022-09-08,3390681,487123,1030383,3745892,0.0,2503880,1522628.0,1119250,1087214,736676,272307,27376574
2022-09-09,2336061,443817,876755,2713564,50000.0,892050,909506.0,584104,3946164,6735581,296549,24262432
2022-09-12,2329085,380872,1203805,2433703,0.0,840551,937915.0,601978,1624824,2723088,180068,15002494
2022-09-13,2666517,931300,1042282,2667572,0.0,1076788,255983.0,797550,1282916,991887,236207,46967257
2022-09-14,3248162,979781,1257895,1743273,0.0,903894,675721.0,948587,1456923,1599380,463530,22671853
2022-09-15,2907101,459565,1163823,2153951,0.0,667027,464987.0,704955,1201930,1578912,384243,41923080
2022-09-16,9191215,2113011,1321943,3265196,0.0,3855915,491793.0,1253430,1963506,7477922,215947,39583582
2022-09-19,1941430,557028,964805,2101907,0.0,940311,590492.0,1151178,1040578,672980,313805,18546599
2022-09-20,1556055,673490,1245920,1425566,6640.0,1067453,1046002.0,861408,1190032,1523173,302110,17597339
2022-09-21,2162028,409419,993153,1545473,398811.0,774248,50953.0,762717,777971,1173272,277574,18148825
2022-09-23,2306103,1027881,1005466,2178475,0.0,536546,0.0,1176577,951082,1052347,369518,17612335
2022-09-26,2773285,715165,8730933,2536320,9858.0,957564,918533.0,1276829,1276526,875281,318470,24902143
2022-09-27,2769284,349509,2406164,1860535,0.0,707298,9003.0,711233,1078015,799487,235067,21754859
2022-09-28,2611896,1122540,1985351,1516670,120000.0,1094768,102686.0,1037733,804267,767700,243110,19310665
2022-09-29,3751530,986615,1567434,2490569,171821.0,1368415,1463695.0,1000555,876755,958247,276046,27149712
2022-09-30,4621846,1003431,1570036,3223129,749206.0,939976,97690.0,1933833,1038334,1129976,183327,32911358
2022-10-03,1593679,1535212,891978,2048741,132209.0,705451,126368.0,989834,754794,876090,129769,22216180
2022-10-04,4839611,1748050,1282711,2367359,214201.0,1805893,505209.0,1993295,1027457,756660,192227,38308643
2022-10-05,3736782,804229,947079,2301316,202300.0,2452675,837413.0,1323726,1283147,561127,320444,23021451
2022-10-06,2437915,956272,897288,1576309,0.0,1760595,764263.0,3413169,841554,204624,502177,32283674
2022-10-07,2843936,702298,513010,1303431,0.0,656268,505917.0,1767972,1002100,286879,216515,15682634
2022-10-10,2120208,481803,568714,1067536,175000.0,878409,156026.0,950696,855749,715015,257873,13490172
2022-10-11,2121306,631286,988636,1340599,200000.0,797023,0.0,1541129,1242727,430104,396929,23698787
2022-10-12,1586988,611188,813877,1221897,0.0,2176089,360900.0,858525,869665,397884,406623,24123802
2022-10-13,1975208,597177,920394,792996,2525.0,1458418,2180422.0,938087,927819,629426,365363,18057413
2022-10-14,1407945,615901,589700,1048226,0.0,1499813,342936.0,748758,1063540,499547,354627,14334721
2022-10-17,1941632,281637,11624155,984590,358765.0,795500,360091.0,571864,763409,279640,253094,26805683
2022-10-18,1552753,479627,7047689,1447218,4546.0,1421930,327808.0,1097663,912222,406640,307755,18664493
2022-10-19,1449066,961171,5006524,3690324,72872.0,1464743,107.0,1150267,784719,552108,211686,20553269
2022-10-20,1425583,1257849,2089253,3560334,409636.0,1001208,589809.0,1962435,1667685,574355,315623,44037696
2022-10-21,3195257,1689397,1277465,2259367,35000.0,520202,174801.0,1593084,1211692,837861,377771,23257302
2022-10-24,1512493,1127665,1057476,2390325,0.0,843045,883480.0,1399087,1454915,248368,145575,33026474
2022-10-25,1393809,893627,775325,1748040,0.0,2005596,2746.0,1359313,1125572,296851,158792,30131026
2022-10-26,2373338,1340002,3927846,1141531,452541.0,875027,2982867.0,1018624,1713471,526872,123935,21514966
